sparcs_facility_name,cms_facility_name,pfi_number,match_method,match_score,reviewed,volume
MONTEFIORE MEDICAL CENTER-WAKEFIELD HOSPITAL,,1168,,,False,2736
MOUNT SINAI WEST,,1466,,,False,821
NYU LANGONE HOSPITAL-BROOKLYN,,1304,,,False,726
MOUNT SINAI HOSPITAL,,1456,,,False,611
BRONXCARE HOSPITAL CENTER,,1178,,,False,499
MOUNT SINAI HOSPITAL - MOUNT SINAI HOSPITAL OF QUEENS,,1639,,,False,316
BELLEVUE HOSPITAL CENTER,,1438,,,False,246
METROPOLITAN HOSPITAL CENTER,,1454,,,False,236
KINGS COUNTY HOSPITAL CENTER,,1301,,,False,217
UNIVERSITY HOSPITAL OF BROOKLYN,,1320,,,False,192
LINCOLN MEDICAL & MENTAL HEALTH CENTER,,1172,,,False,162
JACOBI MEDICAL CENTER,,1165,,,False,153
WOODHULL MEDICAL & MENTAL HEALTH CENTER,,1692,,,False,149
INTERFAITH MEDICAL CENTER,,1309,,,False,118
MOUNT SINAI MORNINGSIDE,,1469,,,False,98
WYCKOFF HEIGHTS MEDICAL CENTER,,1318,,,False,93
ELMHURST HOSPITAL CENTER,,1626,,,False,93
SOUTH BROOKLYN HEALTH,,1294,,,False,89
RICHMOND UNIVERSITY MEDICAL CENTER,,1738,,,False,88
MEMORIAL HOSPITAL FOR CANCER AND ALLIED DISEASES,,1453,,,False,52
QUEENS HOSPITAL CENTER,,1633,,,False,40
MOUNT SINAI BROOKLYN,,1324,,,False,15
BROOKDALE HOSPITAL MEDICAL CENTER,,1286,,,False,10
HOSPITAL FOR SPECIAL SURGERY,Hospital for Special Surgery Main Hospital,1447,fuzzy,100.0,True,9671
NYU LANGONE ORTHOPEDIC HOSPITAL,NYU Langone,1446,fuzzy,100.0,True,4043
NEW YORK-PRESBYTERIAN HOSPITAL - COLUMBIA PRESBYTERIAN CENTER,NewYork-Presbyterian Columbia University Irving Medical Center,1464,fuzzy,100.0,True,880
STATEN ISLAND UNIVERSITY HOSPITAL PRINCE'S BAY,Staten Island University Hospital,1737,fuzzy,100.0,True,675
BROOKLYN HOSPITAL CENTER - DOWNTOWN CAMPUS,Brooklyn Hospital Center at Downtown Campus,1288,exact,100.0,True,218
NEW YORK-PRESBYTERIAN/LOWER MANHATTAN HOSPITAL,NewYork-Presbyterian Lower Manhattan Hospital,1437,exact,100.0,True,122
NYU LANGONE HOSPITALS,NYU Langone Hospital?Suffolk,1463,fuzzy,100.0,True,71
ST JOHNS EPISCOPAL HOSPITAL SO SHORE,St Johns Episcopal Hospital,1635,fuzzy,100.0,True,63
NEW YORK-PRESBYTERIAN HOSPITAL - NEW YORK WEILL CORNELL CENTER,NewYork-Presbyterian Weill Cornell Medical Center,1458,fuzzy,100.0,True,62
SBH HEALTH SYSTEM,St. Barnabas Hospital,1176,exact,100.0,True,42
